title,description,category,subCategory,url,isPaid,price,avgRating,numSubscribers
AWS Certified Solutions Architect - Associate 2018,Want to pass the AWS Solutions Architect - Associate Exam? Want to become Amazon Web Services Certified? Do this course!,IT & Software,IT Certification,/aws-certified-solutions-architect-associate/,true,"₹11,520",4.45872,364589
Complete Python Bootcamp: Go from zero to hero in Python 3,Learn Python like a Professional! Start from the basics and go all the way to creating your own applications and games!,Development,Programming Languages,/complete-python-bootcamp/,true,"₹12,480",4.48906,445981
The Web Developer Bootcamp,"The only course you need to learn web development - HTML, CSS, JS, Node, and More!",Development,Web Development,/the-web-developer-bootcamp/,true,"₹12,800",4.63184,363408
Angular 7 (formerly Angular 2) - The Complete Guide,"Master Angular (Angular 2+, incl. Angular 7) and build awesome, reactive web apps with the successor of Angular.js",Development,Web Development,/the-complete-guide-to-angular-2/,true,"₹12,160",4.56182,218788
Machine Learning A-Z™: Hands-On Python & R In Data Science,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,Business,Data & Analytics,/machinelearning/,true,"₹12,800",4.53171,343699
Java Programming Masterclass for Software Developers,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,Development,Programming Languages,/java-the-complete-java-developer-course/,true,"₹12,480",4.55932,276282
The Ultimate Drawing Course - Beginner to Advanced,Learn the #1 most important building block of all art,Design,Graphic Design,/the-ultimate-drawing-course-beginner-to-advanced/,true,"₹9,600",4.45062,243581
Complete C# Unity Developer 2D: Learn to Code Making Games,"Game development & design. Learn Unity 2018 in C#. Your first 7 2D Unity games for web, Mac & PC. Includes Tilemap",Development,Game Development,/unitycourse/,true,"₹12,480",4.60658,273753
The Complete Web Developer Course 2.0,"Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!",Development,Web Development,/the-complete-web-developer-course-2/,true,"₹12,800",4.54239,197187
Microsoft Excel - Excel from Beginner to Advanced,"Excel with this A-Z Microsoft Excel Course. Microsoft Excel 2010, Excel 2013, Excel 2016",Office Productivity,Microsoft,/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,true,"₹9,600",4.51684,147544
Modern React with Redux [2019 Update],"(Updated Dec 2018) Master React v16.6.3 and Redux with React Router, Webpack, and Create-React-App.  Includes Hooks!",Development,Web Development,/react-redux/,true,"₹11,520",4.53651,124822
The Complete Digital Marketing Course - 12 Courses in 1,"Master Digital Marketing Strategy, Social Media Marketing, SEO, YouTube, Email, Facebook Marketing, Analytics & More!",Marketing,Digital Marketing,/learn-digital-marketing-course/,true,"₹12,800",4.40471,211187
Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",Business,Data & Analytics,/python-for-data-science-and-machine-learning-bootcamp/,true,"₹12,480",4.50279,172381
The Complete JavaScript Course 2018: Build Real Projects!,"Master JavaScript with the most complete course on the market! Projects, challenges, quizzes, ES6+, OOP, AJAX, Webpack",Development,Web Development,/the-complete-javascript-course/,true,"₹12,800",4.55776,151800
Unreal Engine C++ Developer: Learn C++ and Make Video Games,"Learn C++ from basics. Make your first 4 video games in Unreal engine, the engine behind Fortnite. Interactive tutorial.",Development,Game Development,/unrealcourse/,true,"₹12,480",4.50927,160041
JavaScript: Understanding the Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",Development,Web Development,/understand-javascript/,true,"₹11,200",4.69556,117647
Learn Ethical Hacking From Scratch,Become an ethical hacker that can hack computer systems like black hat hackers and secure them like security experts.,IT & Software,Network & Security,/learn-ethical-hacking-from-scratch/,true,"₹12,480",4.52405,153981
iOS 11 & Swift 4 - The Complete iOS App Development Bootcamp,Learn iOS 11 App Development From Beginning to End. Using Xcode 9 and Swift 4. Includes Full ARKit and CoreML Modules!,Development,Mobile Apps,/ios11-app-development-bootcamp/,true,"₹12,800",4.6546,104271
React 16.6 - The Complete Guide (incl. React Router & Redux),"Dive in and learn React from scratch! Learn Reactjs, Redux, React Routing, Animations, Next.js basics and way more!",Development,Programming Languages,/react-the-complete-guide-incl-redux/,true,"₹12,160",4.66225,88107
The Complete SQL Bootcamp,Become an expert at SQL!,Business,Data & Analytics,/the-complete-sql-bootcamp/,true,"₹12,480",4.50297,121313
AWS Certified Developer - Associate 2018,Do you want AWS certification? Do you want to be an AWS Certified Developer Associate? This AWS online course is for you,IT & Software,IT Certification,/aws-certified-developer-associate/,true,"₹9,600",4.32239,136640
The Complete Node.js Developer Course (2nd Edition),"Learn Node.js by building real-world applications with Node, Express, MongoDB, Mocha, and more!",Development,Programming Languages,/the-complete-nodejs-developer-course-2/,true,"₹5,440",4.5785,108708
"Reiki Level I, II and Master/Teacher Program","Learn Reiki Levels 1, 2 and Master Level to become a Certified Traditional Usui Reiki Practitioner/Instructor",Personal Development,Personal Transformation,/reikicourse/,true,"₹12,480",4.6553,87378
